group_number,group_size,males,females,cell_phone,stop_at_table
1,1,1,0,yes,no
2,1,0,1,yes,no
3,2,2,0,no,no
4,1,0,1,yes,no
5,1,0,1,yes,no
6,3,1,2,no,yes
7,1,1,0,yes,no
8,4,0,4,no,yes
9,2,1,1,no,no
10,2,0,2,no,no
11,2,0,2,no,yes
12,4,1,3,no,no
13,1,1,0,yes,no
14,1,1,0,yes,no
15,2,1,1,no,no
16,1,0,1,yes,no
17,1,1,0,no,no
18,1,1,0,no,no
19,2,1,1,no,no
20,2,2,0,no,no
21,1,1,0,no,no
22,2,0,2,no,yes
23,1,0,1,yes,yes
24,3,0,3,no,yes
25,1,1,0,yes,no
26,1,1,0,no,no
27,1,0,1,yes,no
28,2,1,1,no,no
29,1,0,1,no,no
30,1,0,1,yes,yes
31,2,0,2,no,yes
32,1,1,0,yes,no
33,4,2,2,no,no
34,2,2,0,no,yes
35,1,0,1,yes,no
36,2,1,1,no,no
37,2,0,2,no,yes
38,1,0,1,yes,no
39,4,3,1,no,no
40,2,0,2,no,yes
41,1,1,0,yes,no
42,1,1,0,yes,no
43,2,0,2,no,no
44,1,0,1,no,yes
45,2,1,1,no,no
46,3,1,2,no,no
47,2,2,0,no,no
48,1,1,0,yes,no
49,3,0,3,no,yes
50,2,1,1,no,no
51,1,0,1,yes,no
52,1,0,1,yes,no
53,2,1,1,no,no
54,1,1,0,yes,yes
55,4,2,2,no,no
56,1,1,0,yes,no
57,2,1,1,no,no
58,2,0,2,no,yes
59,3,1,2,no,yes
60,1,0,1,no,no
61,1,1,0,no,no
62,2,0,2,yes,yes
63,3,1,2,no,no
64,1,1,0,yes,no
65,1,0,1,no,no
66,2,1,1,no,no
67,4,1,3,no,yes
68,1,0,1,yes,yes
69,3,2,1,yes,no
70,1,0,1,yes,no
71,1,0,1,no,no
72,2,2,0,no,no
73,1,1,0,no,yes
74,1,0,1,yes,no
75,2,1,1,no,no
